1.48;1.72;1.75;;0.3;;;
1.45;1.98;1.74;;0.45;;;
1.49;1.97;1.48;;0.03;;;
;;;;;;;
1.27;1.82;1.92;1.17;1.07;1.74;;0.79
1.63;1.45;1.97;1.72;1.8;1.39;;0.19
1.21;1.36;1.64;1.95;1.58;1.65;;0.98
1.62;1.28;1.28;1.4;1.13;1.75;;0.72
1.22;1.47;1.42;1.54;1.73;1.8;;0.39
1.62;1.67;1.03;1.75;1.15;1.66;;0.39
;;;;;;;
1.11;1.17;1.23;1.02;;0.75;;
1.28;1.48;1.22;1.84;;0.99;;
1.79;1.58;1.81;1.5;;0.12;;
1.93;1.12;1.51;1.95;;0.95;;
;;;;;;;
1.86;1.89;1.93;1.16;1.91;1.52;;0.05
1.02;1.13;1.33;1.24;1.43;1.3;;0.97
1.68;1.8;1.67;1.35;1.44;1.14;;0.04
1.26;1.69;1.45;1.91;1.02;1.6;;0.9
1.47;1.99;1.89;1.28;1.6;1.55;;0.82
1.19;1.37;1.01;1.51;2;1.61;;0.69
;;;;;;;
1.6;1.79;1.76;1.99;1.56;1.23;;0.62
1.08;1.64;1.06;1.13;1.61;1.52;;0.17
1.41;1.86;1.93;1.72;1.5;1.03;;0.11
1.81;1.66;1.09;1.02;1.57;1.63;;0.98
1.72;1.33;1.65;1.22;1.91;1.32;;0.04
1.89;1.91;1.88;1.27;1.46;1.5;;0.91
